,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,emotion
84,I Love You Always Forever,90s Smash Hits,Various Artists,7cl3S5vJvwwEsAs4hxgRaR,2020-05-22,35,239960,0.744,0.624,0.453,0.407,0.0898,0.123,-11.977,0.0349,103.773,5,4,happy
85,Sitting Down Here,90s Smash Hits,Various Artists,2uMNf6VxIglYcLsZDJCztM,2020-05-22,0,234373,0.764,0.163,0.709,0.0,0.334,0.786,-6.766,0.0347,124.081,2,4,happy
86,So Young,90s Smash Hits,Various Artists,0lG3QJMUV0EXpMdPRYU3yU,2020-05-22,33,232293,0.637,0.292,0.739,1.82e-05,0.377,0.849,-6.536,0.0291,104.98,7,4,happy
87,I Wanna Be the Only One (feat. Bebe Winans),90s Smash Hits,Various Artists,1NCYzpQtE1Hb78bQovBkqP,2020-05-22,32,216693,0.627,0.473,0.766,0.0,0.126,0.811,-7.774,0.0642,100.072,6,4,happy
88,Music,Music,Madonna,2fzykVsO2Di5jnofUNX3YE,2000-09-19,60,225973,0.736,0.00149,0.802,0.0876,0.14,0.871,-8.527,0.0663,119.854,7,4,happy
89,Greek Tragedy - Oliver Nelson TikTok Remix,Greek Tragedy (Oliver Nelson TikTok Remix),The Wombats,64rqvMhAPLLEag310IG3z9,2021-01-15,73,306428,0.736,0.222,0.764,0.00154,0.192,0.404,-6.736,0.0482,112.033,8,4,happy
90,Pure Shores,Saints & Sinners,All Saints,6ZLGthToczpvnL5Eoy6yrY,2000-08-16,64,268746,0.631,0.0498,0.664,0.00042,0.0696,0.407,-9.197,0.0242,100.618,6,4,happy
91,Haven't Met You Yet,Crazy Love,Michael Bublé,4fIWvT19w9PR0VVBuPYpWA,2009-10-06,72,244586,0.615,0.152,0.733,0.0,0.109,0.796,-4.808,0.0335,122.58,8,4,happy
92,Kids,Light Years,Kylie Minogue,1IPRqw2UOJbOPrUhUd49IN,2000-09-25,50,260026,0.534,0.00761,0.872,0.0,0.531,0.425,-4.92,0.272,184.62,2,4,happy
93,Paradise,Mylo Xyloto,Coldplay,6nek1Nin9q48AVZcWs9e9D,2011-10-24,81,278719,0.449,0.0509,0.585,8.75e-05,0.0833,0.212,-6.761,0.0268,139.631,5,4,happy
94,Good Feeling,Wild Ones,Flo Rida,2LEF1A8DOZ9wRYikWgVlZ8,2012-06-22,77,248133,0.706,0.0588,0.89,0.00286,0.306,0.684,-4.444,0.0688,128.011,1,4,happy
95,Pumpin Blood,We Are Only What We Feel,NONONO,7ti4qMC7xYQeh1uRzj5XuM,2014,56,209485,0.618,0.000469,0.848,0.522,0.189,0.413,-4.36,0.0279,118.998,7,4,happy
96,Don't Be so Hard on Yourself,I Cry When I Laugh,Jess Glynne,7mvgT1SYL3ka3LBJOuA1k9,2015-08-21,41,211460,0.571,0.0608,0.815,0.0,0.163,0.664,-3.267,0.0321,120.008,6,4,happy
97,Boom Clap,SUCKER,Charli XCX,094RugjgLW6CdPLOJctBZ3,2015-02-09,65,169866,0.659,0.154,0.911,0.000304,0.191,0.576,-2.28,0.0786,91.999,4,4,happy
98,Tongue Tied,Never Trust a Happy Song,Grouplove,0GO8y8jQk1PkHzS31d699N,2011-09-02,83,218013,0.56,0.00847,0.936,0.0,0.161,0.371,-5.835,0.0439,112.96,3,4,happy
99,Silvertongue,Home of the Strange,Young the Giant,0yTJtxZJ5VLfBEHhiNUNeY,2016-08-12,65,197426,0.673,0.00975,0.789,0.0,0.752,0.841,-4.288,0.0408,100.043,0,4,happy
0,"i hate u, i love u (feat. olivia o'brien)",us,gnash,7vRriwrloYVaoAe3a9wJHe,2016-03-25,81,251033,0.492,0.687,0.275,0.0,0.101,0.18,-13.4,0.3,92.6,6,4,sad
1,Photograph,x (Deluxe Edition),Ed Sheeran,1HNkqx9Ahdgi1Ixy2xkKkL,2014-06-21,84,258986,0.614,0.607,0.379,0.000464,0.0986,0.201,-10.48,0.0476,107.989,4,4,sad
2,Breathe Me,Colour The Small One,Sia,7jqzZyJJLrpkRFYGpkqSK6,2004-01-01,68,272800,0.552,0.0364,0.643,0.74,0.105,0.212,-7.36,0.0327,120.012,0,4,sad
3,Stay With Me,In The Lonely Hour (Drowning Shadows Edition),Sam Smith,62NVyyEBiRxGae3SeB97nl,2015-11-06,0,172723,0.453,0.521,0.441,0.000135,0.106,0.184,-6.275,0.0435,84.672,0,4,sad
4,Better in Time,Spirit,Leona Lewis,2iXBZ32Fz5VDCLeE0JIdX5,2007,70,234173,0.584,0.512,0.7,2.43e-05,0.13,0.549,-4.251,0.0506,163.953,6,4,sad
5,I Won't Give Up,I Won't Give Up,Jason Mraz,05pKAafT85jeeNhZ6kq7HT,2012-01-03,68,240165,0.585,0.694,0.303,0.0,0.115,0.142,-10.058,0.0398,136.703,4,3,sad
6,Tonight I Wanna Cry,Greatest Hits,Keith Urban,0BHNSNcbTxQSwxXNnr9oUw,2007-01-01,49,259733,0.557,0.874,0.385,0.0,0.175,0.148,-7.835,0.0262,103.73,7,4,sad
7,Love You Goodbye,Made In The A.M. (Deluxe Edition),One Direction,1ZWLWVqeEMWMKTlteS0yLH,2015-11-13,70,196933,0.546,0.0928,0.657,0.0,0.119,0.361,-4.787,0.0332,133.188,1,4,sad
8,So Cold,Graffiti,Chris Brown,2vPwzseohUUANWMGdQhkb3,2009-12-08,0,218853,0.542,0.08,0.722,1.76e-06,0.118,0.311,-5.8,0.114,178.008,11,4,sad
9,Cry Me a River,Justified,Justin Timberlake,7Lf7oSEVdzZqTA0kEDSlS5,2002-11-04,75,288333,0.624,0.577,0.654,0.0,0.104,0.564,-6.582,0.183,73.898,8,4,sad
10,Never Be Alone,Never Be Alone,Shawn Mendes,4k5FaS9QHmeJNu7kDNkLnO,2015-02-10,0,215840,0.387,0.461,0.473,5.04e-05,0.0839,0.261,-6.93,0.0345,200.764,10,4,sad
11,Wanted,Hunter Hayes (Encore),Hunter Hayes,0f1svjHSiaCJif6noKKVHa,2011,57,228840,0.421,0.268,0.476,0.0,0.0816,0.3,-7.692,0.0298,169.784,0,4,sad
12,Make You Feel My Love,19,Adele,7rPLZ8Krm6CZIbraFUlnWZ,2008-01-28,0,212040,0.325,0.91,0.18,0.000633,0.113,0.0997,-10.647,0.0311,72.416,10,1,sad
13,Bleeding Love,Spirit,Leona Lewis,7wZUrN8oemZfsEd1CGkbXE,2007,78,262466,0.638,0.188,0.656,0.0,0.146,0.225,-5.886,0.0357,104.036,5,4,sad
14,When I Look At You,The Time Of Our Lives (International Version),Miley Cyrus,6ZfXA2xakAvphXOSOJ3u1W,2009-01-01,77,248586,0.459,0.142,0.545,0.0,0.105,0.194,-4.874,0.0282,137.941,6,3,sad
15,Adore You,Bangerz (Deluxe Version),Miley Cyrus,5AnCLGg35ziFOloEnXK4uu,2013-10-04,71,278746,0.583,0.111,0.655,3.57e-06,0.113,0.201,-5.407,0.0315,119.759,0,4,sad
16,Superficial Love,The Intro,Ruth B.,5hwh37sTi84MVhCBMWzhGE,2015-11-27,71,207973,0.477,0.928,0.242,0.0,0.0818,0.488,-9.162,0.0529,43.509,8,4,sad
17,Stone Cold,Confident (Deluxe Edition),Demi Lovato,3ioJ2eGWcONEvna37MpsiE,2015-01-01,0,191307,0.41,0.5,0.462,0.0,0.0975,0.354,-7.534,0.0515,139.861,8,3,sad
18,When We Were Young,When We Were Young,Adele,7ilS0BPWS8ek2P2GaxH3cP,2016-02-05,21,290900,0.377,0.303,0.595,0.0,0.095,0.264,-5.936,0.0489,144.464,3,4,sad
19,Build You Up,Build You Up,Kim Taylor,0CnUXlmzwl5QfA61FPSlH6,2008-10-10,38,204880,0.502,0.914,0.176,0.0702,0.0962,0.0929,-11.648,0.0306,61.143,10,4,sad
20,River Of Tears,Know-It-All (Deluxe),Alessia Cara,3ArYVrRb0lDBLzuJJqIXzC,2016-03-11,64,254506,0.389,0.928,0.373,0.0,0.146,0.283,-5.72,0.047,90.289,6,4,sad
21,All We Do,Oh Wonder,Oh Wonder,6ZeWGilCAL4sgnPWlCYyaj,2015-09-04,0,214174,0.586,0.979,0.237,7.49e-05,0.0921,0.366,-11.676,0.049,126.751,10,4,sad
22,Impossible,No Gravity,Shontelle,45EDI3rk0f4cAMt9f8b56R,2010-01-01,69,226533,0.599,0.385,0.624,0.0,0.125,0.539,-3.631,0.0343,90.034,8,4,sad
23,So Sick,In My Own Words,Ne-Yo,6brl7bwOHmGFkNw3MBqssT,2006-01-01,78,207186,0.452,0.246,0.574,0.0,0.189,0.58,-8.336,0.31,92.791,6,4,sad
24,Sign of the Times,Harry Styles,Harry Styles,5Ohxk2dO5COHF1krpoPigN,2017-05-12,83,340706,0.516,0.0275,0.595,0.0,0.109,0.222,-4.63,0.0313,119.972,5,4,sad
25,No Air (feat. Chris Brown),Jordin Sparks,Jordin Sparks,519tXYJVcrpEMqV2BMbh6E,2007-11-20,0,264373,0.466,0.0521,0.759,0.0,0.0587,0.328,-4.978,0.199,160.033,8,4,sad
26,How Do I Breathe,How Do I Breathe,Mario,7hijz8il3sNScfNUOKeomX,2007,32,256386,0.635,0.317,0.479,0.0,0.0935,0.582,-8.271,0.0525,97.843,5,4,sad
27,Make Me (Cry),Make Me (Cry),Noah Cyrus,2BrzlUj1u1CtvaJDGIKpsP,2016-11-15,69,242081,0.588,0.592,0.471,0.00146,0.0733,0.209,-7.287,0.0577,152.881,0,4,sad
28,Hurts So Good,Astrid S,Astrid S,46ydq5g3k17iLJs3qMDvO6,2016-05-20,78,208728,0.675,0.084,0.609,0.0,0.0957,0.378,-5.027,0.0586,120.039,7,4,sad
29,Atic,Astrid S,Astrid S,3H9CQYRjYS2bixQXoawh98,2016-05-20,46,214226,0.542,0.051,0.516,8.01e-05,0.0881,0.382,-7.267,0.0417,143.185,10,4,sad
30,I Don’t Wanna Know,Astrid S,Astrid S,5kNtYmydoA9Dd959vVlKBJ,2016-05-20,43,176093,0.443,0.687,0.285,0.0,0.0861,0.109,-9.25,0.0821,86.786,7,4,sad
31,Million Reasons,Joanne (Deluxe),Lady Gaga,7dZ1Odmx9jWIweQSatnRqo,2016-10-21,77,205280,0.666,0.494,0.423,0.0,0.106,0.154,-8.012,0.043,129.89,0,4,sad
32,Like I'm Gonna Lose You (feat. John Legend),Title (Deluxe),Meghan Trainor,2YlZnw2ikdb837oKMKjBkW,2015-01-09,80,225053,0.63,0.4,0.53,0.0,0.177,0.417,-7.259,0.0434,108.038,0,3,sad
33,I'm Not The Only One,In The Lonely Hour (Deluxe Edition),Sam Smith,1VbhR6D6zUoSTBzvnRonXO,2014-01-01,0,239316,0.678,0.565,0.491,2.78e-05,0.0772,0.519,-5.815,0.0358,81.997,5,4,sad
34,This Is What It Takes,Handwritten (Deluxe),Shawn Mendes,4xIZj7JRC3FnGPAjmkhNeW,2015-04-13,0,230440,0.491,0.384,0.324,0.0,0.119,0.324,-6.703,0.0315,81.901,0,4,sad
35,Save Me,Pink Friday,Nicki Minaj,4dL6PO16Ns1kmvzpj9lTFq,2010-01-01,0,185413,0.448,0.542,0.729,0.0244,0.163,0.586,-6.103,0.13,83.523,6,4,sad
36,You & I,Midnight Memories (Deluxe),One Direction,2afCBiru10AFckfOa49wIa,2013-11-25,79,237933,0.574,0.22,0.329,0.0,0.0986,0.356,-6.829,0.0274,130.993,1,4,sad
37,I Was Made For Loving You,Unbreakable Smile,Tori Kelly,3vOmmLuvEUgGaVuRsCs2QF,2015-10-16,67,188939,0.374,0.355,0.344,0.0,0.0966,0.216,-11.94,0.0304,106.415,2,5,sad
38,She Wouldn't Be Gone,Loaded: The Best of Blake Shelton,Blake Shelton,20xK9pC1cCJKnjtJ37YNOQ,2010-11-08,44,215613,0.509,0.153,0.662,0.0,0.0773,0.231,-4.873,0.0293,160.129,0,4,sad
39,The A Team,The A Team,Ed Sheeran,2vBF8A6n0REigm7RSUM65S,2011-05-01,26,258588,0.626,0.678,0.286,0.0,0.134,0.366,-9.933,0.0374,84.954,9,4,sad
40,Video Games - Remastered,Born To Die - The Paradise Edition,Lana Del Rey,0fBSs3fRoh1yJcne77fdu9,2012-01-01,71,281960,0.236,0.811,0.249,1e-06,0.087,0.181,-9.595,0.0348,72.847,6,5,sad
41,Happier,÷ (Deluxe),Ed Sheeran,2RttW7RAu5nOAfq6YFvApB,2017-03-03,82,207520,0.522,0.536,0.385,0.0,0.135,0.236,-7.355,0.0288,89.792,0,4,sad
42,Bruises,Bruises,Lewis Capaldi,3BxzQaXrfoWo1lYLZjJqyD,2017-03-31,0,218492,0.572,0.963,0.319,0.0,0.161,0.359,-6.206,0.0685,110.922,4,4,sad
43,Silence,Silence,Grace Carter,36HDXw8pu6xTytA8F3vcBi,2017-05-23,0,222096,0.537,0.638,0.585,0.0,0.0862,0.22,-7.753,0.151,172.035,10,4,sad
44,Can I Be Him,Back from the Edge,James Arthur,0VhgEqMTNZwYL1ARDLLNCX,2016-10-28,79,246880,0.696,0.308,0.543,0.0,0.0939,0.479,-6.164,0.0489,107.969,11,4,sad
45,Almost Is Never Enough - Soundtrack Version,The Mortal Instruments: City of Bones (Original Motion Picture Soundtrack),Various Artists,6YbDAwAzXrijLm3AQ9nBrv,2013-01-01,28,210200,0.414,0.835,0.285,0.0,0.0798,0.395,-8.644,0.0372,82.544,2,4,sad
46,Honeymoon Avenue,Yours Truly,Ariana Grande,2ofOe2OaXFpZF5ETbsc7Qu,2013-01-01,59,339733,0.692,0.218,0.608,0.0,0.348,0.449,-5.233,0.041,125.012,8,4,sad
47,Dear No One,Foreword,Tori Kelly,2wWboDFZJPWXVNlHUbdSVQ,2013-01-01,68,197846,0.627,0.126,0.592,0.0,0.111,0.462,-5.977,0.314,167.882,6,4,sad
48,I Have Nothing,The Bodyguard - Original Soundtrack Album,Whitney Houston,31er9IGsfFbwqy1pH4aiTP,1992-11-17,74,289160,0.541,0.576,0.401,0.0,0.164,0.24,-10.499,0.0365,152.943,0,3,sad
49,1-800-273-8255,Everybody,Logic,5tz69p7tJuGPeMGwNTxYuV,2017-05-05,79,250173,0.62,0.569,0.574,0.0,0.19,0.357,-7.788,0.0479,100.023,5,4,sad
50,Close To You,ANTI,Rihanna,4gFxywaJejXWxo0NjlWzgg,2016-01-28,0,223226,0.494,0.895,0.17,0.0,0.139,0.145,-11.368,0.0337,80.098,10,4,sad
51,Jealous,Jealous,Labrinth,4L2K7JKseFCBoHMZEAszW0,2014-11-21,38,287693,0.439,0.874,0.153,0.0,0.107,0.104,-8.95,0.0479,116.76,1,3,sad
52,Not About Angels,Not About Angels,Birdy,5sF7hdYvhrcgNq8NZjfK8L,2014-04-13,75,189475,0.405,0.964,0.111,4.37e-05,0.0872,0.219,-11.879,0.0369,116.86,0,4,sad
53,A Little Too Much,Handwritten,Shawn Mendes,1T7AiFL9ruKKwlONN35Vh0,2015-04-14,67,187026,0.451,0.473,0.507,0.0,0.108,0.564,-6.24,0.0316,165.76,11,4,sad
54,Can't Help Falling in Love,Better,Haley Reinhart,6yIHGmQLJxWAUZ1ZkENemN,2016-04-29,73,173174,0.41,0.947,0.0485,0.0,0.108,0.247,-13.918,0.038,137.97,0,4,sad
55,Just A Little Bit Of Your Heart,My Everything (Deluxe),Ariana Grande,5lvnGiTAH9BVlJLHc0DXZz,2014-08-25,67,232586,0.439,0.692,0.322,0.0,0.103,0.16,-5.959,0.028,77.963,9,4,sad
56,Make It To Me,In The Lonely Hour (Drowning Shadows Edition),Sam Smith,2uCMaUojwuqr8CRGsLoPa6,2015-11-06,64,162732,0.456,0.63,0.379,3.1e-06,0.0983,0.225,-8.573,0.0685,149.967,1,4,sad
57,Life Is Worth Living,Purpose (Deluxe),Justin Bieber,4yWCzA44dQyp0SoeM81bUb,2015-11-13,63,234786,0.558,0.907,0.296,0.0,0.108,0.463,-9.18,0.0427,76.04,10,4,sad
58,Turning Tables,21,Adele,5O6yk6U8L3rTbFsIwuqe8H,2011-01-19,32,250133,0.305,0.952,0.452,1.68e-05,0.129,0.21,-6.077,0.0293,79.83,0,4,sad
59,It Will Rain,It Will Rain,Bruno Mars,4rMNgxEwGWoPHIUcvB5BrB,2011-09-27,63,257847,0.574,0.359,0.824,0.0,0.0816,0.434,-6.885,0.0463,149.981,2,4,sad
60,To Build A Home,Ma Fleur,The Cinematic Orchestra,3AqPL1n1wKc5DVFFnYuJhp,2007-06-05,70,370666,0.264,0.885,0.128,0.352,0.105,0.0774,-15.443,0.034,148.499,9,4,sad
61,Chasing Cars,Eyes Open (International Package with bonus live tracks),Snow Patrol,0x6Y6ikSyS17NxfhWsgENm,2006-01-01,1,267960,0.56,0.199,0.595,6.47e-05,0.132,0.144,-4.53,0.0274,104.011,9,4,sad
62,Lay Me Down,In The Lonely Hour (Drowning Shadows Edition),Sam Smith,64GRDrL1efgXclrhVCeuA0,2015-11-06,76,219535,0.468,0.919,0.19,0.0,0.107,0.326,-11.138,0.0373,125.319,4,4,sad
63,That Should Be Me,My World 2.0,Justin Bieber,0aPZbnkMoWJaJ5CNVLCj8S,2010-01-01,70,232720,0.552,0.199,0.603,0.0,0.151,0.231,-5.71,0.0334,139.908,8,4,sad
64,I Fall Apart,Stoney (Deluxe),Post Malone,75ZvA4QfFiZvzhj2xkaWAh,2016-12-09,83,223346,0.556,0.0689,0.538,0.0,0.196,0.291,-5.408,0.0382,143.95,8,4,sad
65,All I Ask,25,Adele,1wMALZpuqAy7amQsFBWQ8m,2016-06-24,36,271800,0.587,0.882,0.283,0.0,0.149,0.343,-5.473,0.0279,141.961,4,4,sad
66,Broken,Broken,Lund,79DF4VeuuI0Y7NOrimSmR5,2016-10-26,0,200597,0.827,0.0524,0.599,0.000646,0.108,0.13,-2.046,0.0414,134.003,0,4,sad
67,Look What You Made Me Do,Look What You Made Me Do,Taylor Swift,2VjtYe7gpfUi2OkGxR2O2z,2017-08-24,0,211859,0.767,0.21,0.671,1.12e-05,0.129,0.474,-6.416,0.142,128.072,9,4,sad
68,Someone Like You,21,Adele,4kflIGfjdZJW4ot2ioixTB,2011-01-19,45,285040,0.559,0.892,0.33,0.0,0.0975,0.285,-8.251,0.0285,135.109,9,4,sad
69,The Worst,Sail Out,Jhené Aiko,2wBCrtJS3E3TimRZ5MElTI,2013-01-01,71,254493,0.539,0.253,0.414,1.3e-06,0.143,0.123,-9.156,0.0601,94.895,1,4,sad
70,Bumper Cars,It's About Us,Alex & Sierra,62UQgDAEzQuKDwa0Lf8wt8,2014-10-06,55,240173,0.428,0.805,0.274,0.0,0.102,0.176,-7.363,0.0394,145.067,3,4,sad
71,I Found,5AM (Expanded Edition),Amber Run,5zT5cMnMKoyruPj13TQXGx,2015-04-20,76,273000,0.389,0.862,0.302,0.00567,0.104,0.234,-12.485,0.0438,124.956,7,4,sad
72,Sweater Weather,I Love You.,The Neighbourhood,2QjOHCTQ1Jl3zawyYOpxh6,2013-04-19,90,240400,0.612,0.0495,0.807,0.0177,0.101,0.398,-2.81,0.0336,124.053,10,4,sad
73,One Last Dance,Public Record,Us The Duo,34p2uL1CvmaHn3uLfOKt8d,2016-12-09,49,224847,0.466,0.979,0.161,0.000238,0.231,0.171,-14.498,0.0492,139.167,7,3,sad
74,Lost,Call Me Irresponsible,Michael Bublé,6vhYDNMZgffPwcdXdvMqCS,2007-04-30,59,219840,0.518,0.764,0.354,0.00055,0.114,0.315,-9.141,0.029,137.749,11,4,sad
75,Impossible,James Arthur (Deluxe),James Arthur,5yVIlYEHZxQVLyInCdldoS,2013-11-04,79,209440,0.376,0.135,0.695,0.0,0.11,0.302,-4.782,0.0933,169.533,0,4,sad
76,Just A Man,The Answers,SoMo,6FO4qmWqhavG6VKMVXQMGA,2017-03-17,46,249440,0.4,0.204,0.461,0.0,0.107,0.264,-6.869,0.0329,116.371,7,3,sad
77,We Don't Have To Take Our Clothes Off,Ella Eyre,Ella Eyre,48wSJ6NhMFYYB6LjdnPNjM,2015-01-12,62,230711,0.572,0.953,0.231,3.88e-06,0.111,0.332,-6.316,0.0334,96.729,0,3,sad
78,Like I Can,In The Lonely Hour,Sam Smith,4iOoHmJJiqyTxsXSa5uELv,2014-01-01,0,167065,0.652,0.363,0.632,1.2e-05,0.124,0.484,-6.612,0.0375,99.952,7,4,sad
